gloss,diff,high,low,stem_gloss,molly_pos
belly,0,0.004901960784313725,0.004901960784313725,NA,NA
ben,0,0.004901960784313725,0.004901960784313725,NA,NA
billy,0,0.004901960784313725,0.004901960784313725,NA,NA
birds,0,0.004901960784313725,0.004901960784313725,NA,NA
blankets,0,0.004901960784313725,0.004901960784313725,NA,NA
busy,0,0.004901960784313725,0.004901960784313725,NA,NA
call,0,0.004901960784313725,0.004901960784313725,NA,NA
cats,0,0.004901960784313725,0.004901960784313725,NA,NA
chairs,0,0.004901960784313725,0.004901960784313725,NA,NA
circles,0,0.004901960784313725,0.004901960784313725,NA,NA
crayons,0,0.004901960784313725,0.004901960784313725,NA,NA
daddy,0,0.12254901960784313,0.12254901960784313,NA,NA
david,0,0.004901960784313725,0.004901960784313725,NA,NA
ding,0,0.00980392156862745,0.00980392156862745,NA,NA
doctor,0,0.004901960784313725,0.004901960784313725,NA,NA
dogs,0,0.004901960784313725,0.004901960784313725,NA,NA
eye,0,0.0196078431372549,0.0196078431372549,NA,NA
fire+engine,0,0.004901960784313725,0.004901960784313725,NA,NA
fixed,0,0.004901960784313725,0.004901960784313725,NA,NA
foot,0,0.004901960784313725,0.004901960784313725,NA,NA
george,0,0.004901960784313725,0.004901960784313725,NA,NA
georgie,0,0.004901960784313725,0.004901960784313725,NA,NA
hands,0,0.004901960784313725,0.004901960784313725,NA,NA
having,0,0.004901960784313725,0.004901960784313725,NA,NA
humpty_dumpty,0,0.004901960784313725,0.004901960784313725,NA,NA
i'll,0,0.004901960784313725,0.004901960784313725,NA,NA
ice,0,0.00980392156862745,0.00980392156862745,NA,NA
jenny,0,0.004901960784313725,0.004901960784313725,NA,NA
linda,0,0.004901960784313725,0.004901960784313725,NA,NA
lucy,0,0.004901960784313725,0.004901960784313725,NA,NA
lulu,0,0.004901960784313725,0.004901960784313725,NA,NA
night+night,0,0.004901960784313725,0.004901960784313725,NA,NA
nurse,0,0.004901960784313725,0.004901960784313725,NA,NA
pa,0,0.004901960784313725,0.004901960784313725,NA,NA
piggy,0,0.004901960784313725,0.004901960784313725,NA,NA
poo+poo,0,0.004901960784313725,0.004901960784313725,NA,NA
ring,0,0.004901960784313725,0.004901960784313725,NA,NA
sky,0,0.014705882352941176,0.014705882352941176,NA,NA
toes,0,0.004901960784313725,0.004901960784313725,NA,NA
trucks,0,0.00980392156862745,0.00980392156862745,NA,NA
uncle,0,0.004901960784313725,0.004901960784313725,NA,NA
walking,0,0.004901960784313725,0.004901960784313725,NA,NA
wants,0,0.004901960784313725,0.004901960784313725,NA,NA
washing,0,0.004901960784313725,0.004901960784313725,NA,NA
wear,0,0.004901960784313725,0.004901960784313725,NA,NA
who,0,0.014705882352941176,0.014705882352941176,NA,NA
annie,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
balls,-0.004901960784313725,0,0.004901960784313725,NA,NA
barney,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
books,-0.004901960784313725,0.014705882352941176,0.0196078431372549,NA,NA
buzz,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
candy,-0.004901960784313725,0.00980392156862745,0.014705882352941176,NA,NA
cards,-0.004901960784313725,0,0.004901960784313725,NA,NA
choo,-0.004901960784313725,0.014705882352941176,0.0196078431372549,NA,NA
coloring,-0.004901960784313725,0,0.004901960784313725,NA,NA
cookies,-0.004901960784313725,0,0.004901960784313725,NA,NA
cups,-0.004901960784313725,0,0.004901960784313725,NA,NA
dinosaurs,-0.004901960784313725,0,0.004901960784313725,NA,NA
dipsy,-0.004901960784313725,0,0.004901960784313725,NA,NA
dolls,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
dressed,-0.004901960784313725,0,0.004901960784313725,NA,NA
emily,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
fixing,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
guy,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
happening,-0.004901960784313725,0,0.004901960784313725,NA,NA
higher,-0.004901960784313725,0,0.004901960784313725,NA,NA
holding,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
horses,-0.004901960784313725,0,0.004901960784313725,NA,NA
into,-0.004901960784313725,0,0.004901960784313725,NA,NA
its,-0.004901960784313725,0,0.004901960784313725,NA,NA
john,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
jumping,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
looks,-0.004901960784313725,0,0.004901960784313725,NA,NA
needs,-0.004901960784313725,0,0.004901960784313725,NA,NA
nuts,-0.004901960784313725,0,0.004901960784313725,NA,NA
o,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
pieces,-0.004901960784313725,0,0.004901960784313725,NA,NA
play_doh,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
racing,-0.004901960784313725,0,0.004901960784313725,NA,NA
real,-0.004901960784313725,0,0.004901960784313725,NA,NA
rest,-0.004901960784313725,0,0.004901960784313725,NA,NA
roo,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
sandy,-0.004901960784313725,0,0.004901960784313725,NA,NA
seed,-0.004901960784313725,0,0.004901960784313725,NA,NA
she's,-0.004901960784313725,0,0.004901960784313725,NA,NA
somebody's,-0.004901960784313725,0,0.004901960784313725,NA,NA
stars,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
story,-0.004901960784313725,0,0.004901960784313725,NA,NA
talk,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
tee,-0.004901960784313725,0,0.004901960784313725,NA,NA
thing,-0.004901960784313725,0.004901960784313725,0.00980392156862745,NA,NA
things,-0.004901960784313725,0,0.004901960784313725,NA,NA
tow,-0.004901960784313725,0,0.004901960784313725,NA,NA
wanted,-0.004901960784313725,0,0.004901960784313725,NA,NA
word,-0.004901960784313725,0,0.004901960784313725,NA,NA
boo+boo,-0.00980392156862745,0,0.00980392156862745,NA,NA
boots,-0.00980392156862745,0.004901960784313725,0.014705882352941176,NA,NA
bubble,-0.00980392156862745,0.00980392156862745,0.0196078431372549,NA,NA
comes,-0.00980392156862745,0.004901960784313725,0.014705882352941176,NA,NA
d,-0.00980392156862745,0,0.00980392156862745,NA,NA
elmo,-0.00980392156862745,0,0.00980392156862745,NA,NA
halloween,-0.00980392156862745,0,0.00980392156862745,NA,NA
lily,-0.00980392156862745,0,0.00980392156862745,NA,NA
poppy,-0.00980392156862745,0,0.00980392156862745,NA,NA
sally,-0.00980392156862745,0,0.00980392156862745,NA,NA
your,-0.009803921568627454,0.024509803921568627,0.03431372549019608,NA,NA
dad,-0.014705882352941176,0.00980392156862745,0.024509803921568627,NA,NA
dada,-0.014705882352941176,0.024509803921568627,0.0392156862745098,NA,NA
mom,-0.014705882352941176,0.014705882352941176,0.029411764705882353,NA,NA
wiggle,-0.014705882352941176,0,0.014705882352941176,NA,NA
er,-0.0196078431372549,0.004901960784313725,0.024509803921568627,NA,NA
i'm,-0.019607843137254905,0.024509803921568627,0.04411764705882353,NA,NA
mum,-0.01960784313725491,0.049019607843137254,0.06862745098039216,NA,NA
mommy,-0.024509803921568624,0.0392156862745098,0.06372549019607843,NA,NA
ma,-0.03431372549019608,0,0.03431372549019608,NA,NA
