gloss,prop_know
lot,0.3050847457627119
move,0.3050847457627119
pick,0.3050847457627119
ran,0.3050847457627119
should,0.3050847457627119
stand,0.3050847457627119
whole,0.3050847457627119
ball,0.3016949152542373
daddy,0.3016949152542373
eight,0.3016949152542373
gotta,0.3016949152542373
hurt,0.3016949152542373
leave,0.3016949152542373
out_of,0.3016949152542373
paper,0.3016949152542373
part,0.3016949152542373
ate,0.2983050847457627
end,0.2983050847457627
lady,0.2983050847457627
ready,0.2983050847457627
sleep,0.2983050847457627
today,0.2983050847457627
wasn't,0.2983050847457627
jump,0.29491525423728815
mother,0.29491525423728815
piece,0.29491525423728815
taking,0.29491525423728815
before,0.29152542372881357
cat,0.29152542372881357
even,0.29152542372881357
fast,0.29152542372881357
mouth,0.29152542372881357
real,0.29152542372881357
seven,0.29152542372881357
climbing,0.288135593220339
drink,0.288135593220339
every,0.288135593220339
hit,0.288135593220339
hole,0.288135593220339
left,0.288135593220339
Mom,0.288135593220339
new,0.288135593220339
remember,0.288135593220339
stick,0.288135593220339
uhuh,0.288135593220339
yours,0.288135593220339
balloons,0.2847457627118644
done,0.2847457627118644
hair,0.2847457627118644
sitting,0.2847457627118644
store,0.2847457627118644
bit,0.28135593220338984
funny,0.28135593220338984
guy,0.28135593220338984
hear,0.28135593220338984
popped,0.28135593220338984
push,0.28135593220338984
white,0.28135593220338984
call,0.27796610169491526
caught,0.27796610169491526
cut,0.27796610169491526
eyes,0.27796610169491526
guess,0.27796610169491526
many,0.27796610169491526
string,0.27796610169491526
together,0.27796610169491526
walk,0.27796610169491526
window,0.27796610169491526
ya,0.27796610169491526
anything,0.2745762711864407
bigger,0.2745762711864407
broke,0.2745762711864407
called,0.2745762711864407
fighting,0.2745762711864407
happened,0.2745762711864407
minute,0.2745762711864407
myself,0.2745762711864407
nice,0.2745762711864407
under,0.2745762711864407
forgot,0.2711864406779661
hot,0.2711864406779661
ow,0.2711864406779661
yellow,0.2711864406779661
black,0.2677966101694915
break,0.2677966101694915
cold,0.2677966101694915
friend,0.2677966101694915
juice,0.2677966101694915
light,0.2677966101694915
ride,0.2677966101694915
always,0.26440677966101694
game,0.26440677966101694
