target_child_id,log_mtld_t1,log_mtld_t2,age_t1,age_diff,log_transcript_length_t1,log_transcript_length_t2,mlu_m_t1,mlu_m_t2,log_freq_t1,mtld_resid,mlu_resid
4717,1.7091451353947575,2.2700619012884857,608.749499989733,243.499799995893,3.58351893845611,5.375278407684165,1.5,1.4387,10.59387228889209,-0.2639371012006233,-0.9286625818248508
4719,2.151762203259462,2.6880875610046644,669.624449988706,182.62484999692,2.9444389791664403,5.298317366548036,1.1176,1.6418666666666666,NA,NA,NA
4721,1.7693612580244404,3.340695565225422,608.749499989733,243.499799995893,3.7612001156935624,5.6131281063880705,1.1875,2.2567,9.001099725830965,0.603577555367691,0.07121525191724176
4723,1.3217558399823195,3.045329642065616,608.749499989733,243.499799995893,2.3978952727983707,5.634789603169249,1.6,2.529,NA,NA,NA
4727,2.119060298251378,3.0386055937820564,608.749499989733,243.499799995893,3.1354942159291497,5.645446897643238,1.2941,3.2373333333333334,NA,NA,NA
4729,1.6796421711073481,2.4919511874056828,608.749499989733,243.499799995893,3.1780538303479458,4.343805421853684,1,1.4067333333333334,10.208933325620738,-0.008468026077663726,-0.2937076622759316
4731,2.137399275752162,2.940948432558842,608.749499989733,243.499799995893,4.51085950651685,6.045005314036012,1.8727,2.9510666666666667,8.80513859080068,-0.03266320188474081,-0.10115131537938105
4733,1.7227665977411035,2.2745357891841462,608.749499989733,243.499799995893,3.044522437723423,6.0112671744041615,1,1.9984666666666666,NA,NA,NA
4735,1.9406411407477178,2.9341319052564443,608.749499989733,243.499799995893,3.9889840465642745,5.424950017481403,1.3611,2.2008,9.814707388439954,0.19940162903392888,-0.055148356801796083
4737,1.8458266904983303,3.130131740318167,608.749499989733,243.499799995893,3.4339872044851463,5.814130531825066,1.6087,2.4544,9.908833392410394,0.381305490001671,-0.20510136978265203
4739,1.858898772065684,2.6299604135532637,608.749499989733,243.499799995893,4.174387269895637,6.040254711277414,1.0233,2.2052,8.937262341691046,-0.17228687619656924,0.20845353729679927
4741,2.28060618627527,2.7114309559906573,608.749499989733,243.499799995893,4.61512051684126,5.755742213586912,1.5556,2.806833333333333,8.814232652332976,-0.3235813556119047,0.20155383800304794
4744,1.5015240486810364,2.3328754420018583,608.749499989733,243.499799995893,2.9444389791664403,5.929589143389895,1.25,2.1738666666666666,12.051714444171813,-0.025343855081335853,0.17490710452407088
4748,1.6964492894237293,2.7032025461796447,608.749499989733,243.499799995893,3.8066624897703196,5.634789603169249,1.3824,1.8083333333333333,9.643148034624025,0.082245990999333607,-0.5399839938188056
4750,1.4101998819734456,2.6572609440644195,608.749499989733,243.499799995893,3.784189633918261,5.855071922202427,1.0588,2.1921666666666666,8.751573362643098,0.12195530223138329,0.11046275992951227
4753,2.2073427075018035,3.4841433919479914,608.749499989733,243.499799995893,4.07753744390572,5.313205979041787,1.0238,2.0052666666666665,9.732569850106316,0.5772656966943961,0.18707068953555073
4755,1.8137383759468297,2.3724055881977626,608.749499989733,243.499799995893,4.007333185232471,6.018593214496234,1.3243,2.6502,9.001099725830965,-0.40693416457394127,0.26752362006397457
4757,1.5404450409471495,3.0231312477421075,608.749499989733,243.499799995893,2.3978952727983707,4.477336814478207,1,1.6071333333333333,9.001099725830965,0.4103391948660682,-0.3405955483218597
4759,2.1400661634962708,2.8957232981168253,608.749499989733,243.499799995893,4.31748811353631,6.133398042996649,2.1429,3.074866666666667,10.911694423740247,0.10291762035580776,-0.0820699967452474
4761,2.5681099163503736,2.678553680658135,608.749499989733,243.499799995893,2.9444389791664403,5.739792912179234,1.9091,1.7547666666666666,NA,NA,NA
4763,1.6567840330312984,2.8572787217365705,608.749499989733,243.499799995893,2.302585092994046,5.2574953720277815,1,2.6078333333333332,NA,NA,NA
4846,2.258614984220155,2.5495298246532108,731.780648935296,87.8202403668454,8.838986793496787,10.194999780568262,2.3014666666666668,3.05649375,8.049221457194543,0.013131978579097314,-0.10987778978529716
5005,3.099320477440245,3.38723557056665,675.358820278651,149.293651229221,9.759963542450086,10.00622462998724,3.115180681818182,4.332489830508474,7.928448453613462,0.1335832599975979,0.021996696425490292
