word,Estimate,SE,t,n_know
byebye,0.17071797437102007,0.11281811492880792,1.5132142074767776,12
came,0.14479792611563988,0.1963370044750192,0.7374968692367064,3
can't,0.1087779736152205,0.13317642341364735,0.8167960276073415,9
card,0.18976670646862134,0.15652492300784196,1.212373741011928,4
cat,0.2171374067851228,0.1080553352958636,2.0095019481507723,17
Cathy,0.2916087924377327,0.30292455482109026,0.962644948376533,1
celery,0.2916087924377327,0.30292455482109026,0.962644948376533,1
chair,0.08414571928486646,0.10048021785970959,0.8374356771633462,21
check,0.2916087924377327,0.30292455482109026,0.962644948376533,1
chocolate,0.22325266984869557,0.16136422753173332,1.3835326036236346,4
chowder,0.2916087924377327,0.30292455482109026,0.962644948376533,1
Christmas,0.2916087924377327,0.30292455482109026,0.962644948376533,1
clam,0.2916087924377327,0.30292455482109026,0.962644948376533,1
Clip_clop,0.2916087924377327,0.30292455482109026,0.962644948376533,1
clock,0.0475457944073163,0.12870646836386426,0.3694126255791609,7
coat,0.26275382916849344,0.21441449895015866,1.2254480478466683,2
cocoa,0.15024244129675618,0.21838845545704508,0.6879596313016071,2
coffee,0.206483758536917,0.14388416572286286,1.4350693663862084,7
coin,0.2916087924377327,0.30292455482109026,0.962644948376533,1
color,0.11151436210713823,0.11527919874655547,0.9673415787032461,9
coloring,0.12279035323061786,0.21589797826320717,0.5687424876249687,2
come,0.1720632674410127,0.09305509625345768,1.8490472243707907,19
coming,0.20105540934245944,0.1173232670892213,1.7136874409537368,12
cone,0.2916087924377327,0.30292455482109026,0.962644948376533,1
cook,0.12390852558016167,0.1771111817453441,0.6996087110881636,3
cookies,0.17894918082546427,0.1940975814723203,0.9219547171482076,3
cool,0.36516937846246145,0.24209466942173274,1.5083743038816382,2
crayon,0.09321199290719685,0.15451303978833358,0.6032629546016787,4
crayons,0.10083926203674709,0.17864128377033667,0.5644790493466629,3
cream,0.07991238453682992,0.14413751344144768,0.5544176712143183,5
Cromer,0.2916087924377327,0.30292455482109026,0.962644948376533,1
cube,0.2916087924377327,0.30292455482109026,0.962644948376533,1
cut,0.1740684283766553,0.13165716158776117,1.3221341420202444,7
Danny,0.2916087924377327,0.30292455482109026,0.962644948376533,1
dat,0.27715780906864307,0.2311173140265412,1.199208333811004,2
day,-0.06924371678993395,0.13379428561749768,-0.5175386711798267,6
de,0.14862407641152378,0.18083189508864472,0.8218908303685447,3
di,0.2916087924377327,0.30292455482109026,0.962644948376533,1
din,0.1929250438550753,0.21155274160973028,0.9119477364702788,2
dog,-0.02247467634974272,0.09928704132564854,-0.22636062118145622,17
doing,0.1924495968688477,0.11227815335219864,1.714043125247741,11
doll,-0.028386843638420135,0.1292424659705815,-0.21964021983982895,6
dolls,0.08304407564380593,0.2163783202160741,0.383791109760343,2
dolly,0.1239366622433613,0.12222208484469312,1.0140283763024243,7
done,0.06875838876529335,0.11204278975178313,0.6136797282325709,11
doo,0.2916087924377327,0.30292455482109026,0.962644948376533,1
draw,0.08005822817352767,0.11116362975721109,0.7201836459315001,9
drink,0.20449409191842682,0.09709608065411342,2.106100375430175,14
drinking,0.16191021844949183,0.17656213297160925,0.9170155328579237,3
drop,0.24926488514347464,0.2009934581725397,1.240164169569624,3
drum,0.023640734247264324,0.2143243049539906,0.11030356194244663,2
duck,0.08547923099009047,0.09101938486000627,0.9391321543379257,18
ear,0.16868483014541966,0.17766848141601332,0.9494358751817193,3
Easter,0.2440055536381049,0.21837264945536958,1.1173814772438986,2
eating,0.16668257089022537,0.12165413388354977,1.3701348698086815,8
eh,-0.019648039249826426,0.099660447319763,-0.1971498199961436,12
elbow,0.2916087924377327,0.30292455482109026,0.962644948376533,1
else,0.10633733804223754,0.14051193271051518,0.7567851070792353,5
Eve,0.20439438079057734,0.2103692528084758,0.9715981687526452,2
eye,0.08910403415196279,0.1168590827457428,0.7624913019883246,8
fall,0.06277377983362355,0.10609803452689466,0.5916582725923268,13
falled,0.2916087924377327,0.30292455482109026,0.962644948376533,1
find,0.17566729882287055,0.1201041700971019,1.4626244757434061,11
finger,0.09160160345443105,0.15555291288843437,0.5888774549669124,4
fingernail,0.2916087924377327,0.30292455482109026,0.962644948376533,1
fire,0.09960486197244223,0.15583329422570819,0.6391757452561776,4
first,0.1816145352469723,0.17772662335702955,1.0218757990024514,3
fish,0.14702423172811152,0.10382451478110856,1.4160839762948103,13
fix,0.11906654837878425,0.11577186061119359,1.028458450526726,12
flip+flop,0.2916087924377327,0.30292455482109026,0.962644948376533,1
floor,0.16750771930475822,0.1478691061564014,1.132810792320507,5
flower,0.16011631223609618,0.139337784569222,1.1491234249999975,6
for,0.03147912055060989,0.11720785200759236,0.2685751851213072,9
forgot,0.2916087924377327,0.30292455482109026,0.962644948376533,1
four,0.08196679649661591,0.11186648503518158,0.7327198711109736,11
Fraser,0.21073423105065398,0.2147046204105029,0.9815076668948355,2
Fraser's,0.21073423105065398,0.2147046204105029,0.9815076668948355,2
friend,-0.08179340696745564,0.17581977987219072,-0.4652116333379214,3
Frosty_snowman,0.2916087924377327,0.30292455482109026,0.962644948376533,1
full,0.2916087924377327,0.30292455482109026,0.962644948376533,1
game,0.08304407564380593,0.2163783202160741,0.383791109760343,2
get,0.08735886116767243,0.09718141121719043,0.8989256286105415,24
girl,0.08261962578257342,0.1155646462804754,0.714921288142531,10
giving,0.2916087924377327,0.30292455482109026,0.962644948376533,1
going,0.09638852910995119,0.09936608493257044,0.9700344858646709,13
grape,0.23407058739408446,0.21145477697598192,1.1069534145387094,2
grass,0.1452696139813728,0.13279661350696362,1.0939255915118282,6
hammer,0.12564953954096092,0.12973098339284705,0.9685391743348862,6
hand,0.15924618482777633,0.1099453588575822,1.4484120701634708,12
