word,mean_dist_wiki
little,0.23071704013556196
william,0.16102876443381323
street,0.16906451837482678
full,0.14555469999303974
red,0.17166321506474236
too,0.23819922212018071
w,0.13369630053838366
help,0.20874565394225914
james,0.1811462213498782
open,0.15048815756776174
head,0.17954680309209936
track,0.17966338765587142
never,0.21929174577297697
summer,0.15547251626745562
round,0.1620792257331614
story,0.18880644366298538
tv,0.17318788833547422
six,0.17900597312093477
post,0.13832607732020402
why,0.23752985907897178
making,0.19389986103308302
david,0.1733196730477716
rock,0.18761053424702273
present,0.13699126898594055
books,0.16095025789631692
love,0.22684183897167598
run,0.181468137370028
press,0.14544830153262797
came,0.1810789709260555
might,0.2224436566383753
say,0.24526201188195013
enough,0.21416039097997117
color,0.1504111614392493
better,0.2078336548140791
person,0.19726381956547293
went,0.17771898775033254
change,0.1756797227616987
must,0.1922628997065748
yes,0.16902703181488757
lost,0.16033809718332925
something,0.26926181179768727
done,0.20640370090347795
real,0.1773148623789452
space,0.15876254024254172
star,0.16842923221624287
really,0.26599733058825104
paul,0.15975153185603796
going,0.25195126582304467
away,0.2014068536616908
michael,0.17009700819588577
light,0.16915706796175786
big,0.22392290127615416
seen,0.20491040187170206
want,0.23872968316818977
thomas,0.1600594003319974
thanks,0.1739266873588461
put,0.21057805221900935
race,0.14665039653414497
police,0.15818436390221327
body,0.16443733132899127
week,0.1811808441891494
close,0.16007200137573993
q,0.13546268098162578
come,0.23391132001053777
actually,0.2691147745793166
cross,0.13548724290591502
playing,0.18369430227938288
green,0.18188528213479646
probably,0.2080668590091912
look,0.24267700874605652
win,0.17146218763827975
night,0.21445954236660905
today,0.16643505988532067
mother,0.20482305485584054
things,0.25910753831187233
fire,0.18328435569630872
gold,0.16269354059823893
peter,0.170097497890187
move,0.17569789261001065
give,0.1969179936443326
word,0.1841590047065252
blue,0.19601075067448526
almost,0.19788027252019735
baseball,0.16613638164403166
seven,0.17234400580634907
front,0.1868237603980252
cover,0.19061449328379745
read,0.20450784187351617
henry,0.17247154994645808
car,0.20095757307006362
outside,0.1814532666143089
study,0.13415520935906372
nothing,0.22978145820907953
writing,0.17984280324427204
bay,0.14889808222432688
library,0.13486372565766375
reading,0.166304722633045
yet,0.22142111007401014
let,0.23210680981811757
got,0.22596605941344702
ten,0.18039982353527945
brown,0.199319979585585
hand,0.2278366373280155
base,0.14103749837816976
gave,0.1461200188740848
block,0.15682921407096054
bridge,0.1512090753877153
y,0.12467410762754652
soon,0.20944358273172853
words,0.20018842194398348
van,0.1637030441791575
airport,0.12980543909595932
sound,0.18827637616302925
eight,0.17524489756175035
says,0.22426892109709906
ice,0.17542655718640807
behind,0.19287788566876582
taking,0.1858629304836266
higher,0.13217725497788457
food,0.194055962618854
thing,0.2575310296002433
square,0.15076220618015937
try,0.1963162079036739
money,0.20567474312142806
saw,0.18977929984896708
sun,0.1583945244056078
finished,0.16056764145823296
god,0.18032769524111103
bit,0.21837171249084208
running,0.18325600516174895
brought,0.18056319982644972
missing,0.16310871186381895
hit,0.20887057549663554
call,0.1877860000685216
mean,0.20175081130079298
bad,0.19915201531927731
hard,0.20416637594560302
meet,0.15984220113742842
box,0.18706511759064925
rest,0.19673058599411272
matter,0.19845854842031385
care,0.17476358376393386
stop,0.19747226053804282
cannot,0.19072272897833303
engine,0.16373798051376354
trying,0.220638568832954
heart,0.1857177563839285
room,0.21671632461156434
stone,0.18903162516746505
dead,0.1995988186110464
key,0.16186616688341973
shot,0.18476312195604144
turn,0.21675786576477216
leave,0.2028705739955374
feel,0.22296467670761305
picture,0.19775746600855812
looking,0.24046531181924183
edward,0.1596513504178073
seat,0.1262239440607856
dance,0.20095641655402585
doing,0.23855041588645445
castle,0.1489469935691706
fall,0.17746977605495012
wing,0.14209464106100908
fine,0.16654995085683558
comes,0.2039553925295457
super,0.15949051748007548
stars,0.16405033967464225
friends,0.2249649765110776
et,0.10744435611362453
jack,0.21494248248916237
mm,0.14292343084472414
nine,0.17065292615074978
table,0.1693563293525971
pop,0.19829819173239135
else,0.23348126874508363
friend,0.2188201357459111
face,0.20399970233539177
girl,0.24224272384652573
tom,0.19766444242034176
oil,0.15570004886942274
stories,0.17950473138899864
gets,0.20192442409060307
train,0.18424715164930583
paper,0.1814503871840838
wrong,0.23781912019678667
frank,0.18631587033222452
goes,0.2223361526121766
heavy,0.17379141474793355
dark,0.20682913582268583
mind,0.21692976691359908
cut,0.20391099388294096
scott,0.18434710125795806
beach,0.17251429209273317
write,0.18140491433048225
inside,0.22277398242345145
wanted,0.19433714880617506
