word,mean_dist
song,0.011446797006660684
bottom,0.37644307936937627
gave,0.3764604596032034
place,0.37622908190925447
pig,0.3764006577074231
phone,0.02949092673650661
bottle,0.37634589324416107
eggs,0.37642758500931245
toast,0.3764351793385944
flowers,0.37636683160239837
soon,0.37584977466052977
sun,0.3764120542842977
pretend,-0.03697314819109453
byebye,0.37645622922562333
eight,0.376349115363446
nine,0.3758537505494003
bought,0.37604815570561206
teddy,0.37644780216608337
kitchen,0.04315930890536263
monkey,-0.00977368271106748
moon,0.37645042272976575
almost,-0.023644903043899934
tickle,0.37641017995394876
cream,-0.020329826565078046
cars,0.3764501074348949
plate,0.37644090408126124
yay,0.04345877601151242
sweetheart,0.3764455326891925
blow,0.37629765871262805
word,0.3758487185412215
bowl,0.37647304102552565
rabbit,0.03875513257850254
lost,0.375751843214468
count,0.37568796775300567
finger,0.033803979299767854
boat,0.37594974797316666
roll,0.376382002992079
own,0.37640625590860455
hiding,0.3760189043520466
friend,0.37600208407661634
cookie,-0.01918824436243286
purple,-5.317191885513014e-4
wipe,0.3764396656989412
gets,0.37591818971305385
fingers,0.37597080605941585
shirt,0.376453484768759
legs,0.3764172661010012
game,0.04720061041335474
second,0.3764302298719145
hit,0.37645880766949624
colors,0.37633073495788794
ice,-0.0017860960411223501
letters,0.05278375896900884
downstairs,0.3762199640854343
catch,0.37613136083899346
mother,-0.03373181046003071
crying,0.37636688257654355
warm,0.3763932834166691
mine,0.3761841992274053
engine,0.37644752975875106
pictures,0.3764177072619883
blocks,0.020745861818264953
tail,0.04436421251841272
lots,0.37588862780273324
change,0.37625833258606506
rest,0.37583730297268736
socks,0.3764630075767737
pants,1.5396682385466402e-4
bridge,0.035988135348532034
sound,0.3763400623207611
dress,0.3763052541024142
hole,0.08573015692670706
tummy,0.37494261675304147
garden,0.3760680292442876
caterpillar,-0.0019497912861306185
shut,0.3760839859333565
as_well,-0.06339338033377963
brown,0.3764466608386617
dry,0.3763283511081646
doggie,-0.030079227573393715
ring,0.37630487529825735
eh,0.010271603325077714
dolly,-0.0010802933843233815
park,0.3759919666646597
lion,0.37640815794012433
somewhere,0.37621666125434905
puzzle,-0.0032546429937450787
friends,0.013873422999342279
gosh,0.3763291481515241
er,-0.013233504481425533
yum,0.021060139975201193
fast,0.37609281992559257
sheep,0.02544174861141607
store,0.03701752390113567
busy,0.3763585739521789
full,0.37622520379993524
fine,0.009811480914694255
mouse,0.37643478142269726
tiny,0.37645109977131125
running,0.3764104371693508
