target_child_id,words_in_norms_t1,total_words_t1,mean_log_word_freq_t1,log_density_t1,log_centrality_t1,log_total_words_t1,log_word_in_norms_t1,words_in_norms_t2,total_words_t2,mean_log_word_freq_t2,log_density_t2,log_centrality_t2,log_total_words_t2,log_word_in_norms_t2,delta_resid_group,age_t1,age_t2,mtld_diff,age_diff,log_mtld_t2,log_mtld_t1,log_num_trigrams_t1,log_num_trigrams_t2,mean_log_freq_trigrams_t1,mean_log_freq_trigrams_t2
3951,301,347,3.7943492592592594,6.854333056020414,-1.8443126422912182,5.849324779946859,5.707110264748875,444,510,3.78322625,6.908696119077747,-1.8398361410748936,6.234410725718371,6.095824562432225,low,697.056719123254,817.538390996222,3.54693161821632,120.481671872968,2.375370211883232,1.9752001852989034,11.905967053079335,12.486949112293342,0.5254943235544367,0.4893473619066225
4580,33,38,4.038983333333333,6.952254821748183,-1.8571069921970238,3.6375861597263857,3.4965075614664802,91,100,3.991838095238095,6.939897353536223,-1.8470089516914199,4.605170185988092,4.51085950651685,low,704.843171061008,818.26182790201,1.64591385078236,113.418656841003,2.1932293683434856,1.99036453278856,8.464846711044029,10.500756892202675,0.6888923787527156,0.6619729018263865
4585,75,80,4.474809677419355,6.988431232717697,-1.8119350817358024,4.382026634673881,4.31748811353631,149,165,4.297753543307087,6.9356652898983135,-1.8194166517855972,5.10594547390058,5.003946305945459,low,674.405696061521,819.549326844494,1.69026347378747,145.143630782973,2.67499630991882,2.5511650047688725,10.94641093534365,11.731996735794215,0.6869919249809138,0.5860766287037232
4589,89,100,4.542227027027027,7.05274875652366,-1.7949072874043837,4.605170185988092,4.48863636973214,164,180,4.335486231884058,7.01669088928379,-1.8120814728678396,5.19295685089021,5.099866427824199,high,666.655702427155,817.461828559108,2.71173972393266,150.806126131954,2.685287380352894,2.480787740445875,11.553981032210253,12.065303696293757,0.6401150803891895,0.5663381355122125
4711,4,4,4.14595,6.026966420347778,-1.8976367444343523,1.3862943611198906,1.3862943611198906,12,12,4.819375,6.549000605252953,-1.8448123547294173,2.4849066497880004,2.4849066497880004,low,608.749499989733,852.249299985626,7.53864953333038,243.499799995893,2.5501417878879282,1.6620816459195222,5.3230099791384085,8.65591111072806,1.0788472936059494,0.9635433086551862
4717,2,4,5.2101500000000005,7.5574126393060785,-1.7196206212138552,1.3862943611198906,0.6931471805599453,6,9,4.7192,7.200398009945425,-1.8324905965640812,2.1972245773362196,1.791759469228055,low,608.749499989733,852.249299985626,4.15576301615799,243.499799995893,2.2700619012884857,1.7091451353947575,3.6635616461296463,8.513787398281405,1.5457776083220611,0.8842682558730448
4721,1,1,4.5632,6.045062913381028,-1.9430074036934237,0,0,16,16,5.176363636363637,7.109273358339773,-1.7552166600607573,2.772588722239781,2.772588722239781,high,608.749499989733,852.249299985626,22.3716571782995,243.499799995893,3.340695565225422,1.7693612580244404,5.556828061699537,9.745839095947058,0.789575444428483,0.8352311935070336
4729,2,2,4.5632,5.745442591557664,-1.9367103278122535,0.6931471805599453,0.6931471805599453,5,5,4.5632,7.310475475863752,-1.800488311151335,1.6094379124341003,1.6094379124341003,low,608.749499989733,852.249299985626,6.72119654124796,243.499799995893,2.4919511874056828,1.6796421711073481,3.9512437185814275,7.5745584842024805,1.1632985977940162,1.0554758383995388
4731,3,3,4.44885,7.182088080848377,-1.8012732527212079,1.0986122886681098,1.0986122886681098,27,29,5.183276190476191,6.949244161360255,-1.7735699277925665,3.367295829986474,3.295836866004329,high,608.749499989733,852.249299985626,10.4564335725421,243.499799995893,2.940948432558842,2.137399275752162,7.717796211013582,10.836891022686792,0.9760537649684582,0.8090572559067751
4735,3,3,4.95455,6.305643571310364,-1.90932884570486,1.0986122886681098,1.0986122886681098,16,16,5.091208333333333,6.995219539594382,-1.7852331809815456,2.772588722239781,2.772588722239781,high,608.749499989733,852.249299985626,11.8419574370488,243.499799995893,2.9341319052564443,1.9406411407477178,6.679599185844383,9.957312639231036,1.3578302343396813,0.8565887379414663
4737,2,2,4.9069,7.002027744284494,-1.7736981094173103,0.6931471805599453,0.6931471805599453,14,18,5.1643357142857145,7.017511354917507,-1.7362631106132105,2.8903717578961645,2.6390573296152584,high,608.749499989733,852.249299985626,16.5436598329537,243.499799995893,3.130131740318167,1.8458266904983303,3.2188758248682006,10.377918865109015,0.9697977365463276,0.7210660284671032
4739,5,5,3.8973,6.686708266001627,-1.8737054060757363,1.6094379124341003,1.6094379124341003,25,26,4.879955555555555,6.839099264219249,-1.797239237788345,3.258096538021482,3.2188758248682006,low,608.749499989733,852.249299985626,7.45655403308057,243.499799995893,2.6299604135532637,1.858898772065684,4.90527477843843,10.029503273118987,0.9447006514319264,0.7534716749061241
4741,3,3,4.0085,7.068804433683325,-1.8364337005816123,1.0986122886681098,1.0986122886681098,18,23,4.915078571428571,6.932468402300679,-1.7993146425613158,3.1354942159291497,2.8903717578961645,low,608.749499989733,852.249299985626,5.26818844563425,243.499799995893,2.7114309559906573,2.28060618627527,7.637716432664798,10.336016443526942,0.9750024285101279,0.8250707495846149
4744,1,1,5.8571,8.133806030302498,-1.5371369431708892,0,0,12,14,5.257627272727273,6.8120598701389765,-1.787635978295062,2.6390573296152584,2.4849066497880004,low,608.749499989733,852.249299985626,5.81901309827828,243.499799995893,2.3328754420018583,1.5015240486810364,3.6888794541139363,9.462654300590172,1.311807859272748,0.9001461118429289
4748,3,3,4.65665,5.6028478736581935,-1.9750353989499405,1.0986122886681098,1.0986122886681098,12,13,4.4427,7.0698204052913525,-1.8155285034094155,2.5649493574615367,2.4849066497880004,low,608.749499989733,852.249299985626,9.47291568535092,243.499799995893,2.7032025461796447,1.6964492894237293,5.293304824724492,9.886799071249893,1.1165634181315254,0.7629081337446152
4750,3,3,3.7028,6.411811345455008,-1.8716750811248972,1.0986122886681098,1.0986122886681098,13,13,4.812144444444445,6.955162256504544,-1.79827132048364,2.5649493574615367,2.5649493574615367,low,608.749499989733,852.249299985626,10.1604101491221,243.499799995893,2.6572609440644195,1.4101998819734456,3.8066624897703196,10.273843483530724,1.0992814058545832,0.8125280591815918
