target_child_id,mean_density_t1,var_dist_t1,mean_dist_t1,max_dist_t1,min_dist_t1,n_t1_in_vocab_measures
14844,2.2145795095804274e-4,129.52115727431718,14.094312473022363,60.14989796660483,0,153
14854,2.260939868751773e-4,99.17210982483051,11.027116285813875,60.75125281063855,0,75
14871,2.0808188782780906e-4,102.64855311642869,11.642657353768254,64.08909709919459,0,303
14879,2.1116814492228638e-4,97.45483104393762,11.25570080821008,61.477875030516266,0,171
14909,1.9666572274021967e-4,128.14189854100144,13.162233514501764,60.55127495682484,0,87
14917,2.251287642373716e-4,82.17210383517835,9.72277196595901,65.59552536640061,0,60
14928,2.2480574783269037e-4,119.94974870545603,12.669012343442269,58.9312307567676,0,130
14942,2.4869856643884797e-4,84.27616186168217,10.110014735522304,57.626116003536396,0,167
14954,2.638152083772783e-4,70.90907941765913,9.091422443537825,53.04115478252591,0.0025079712061280013,41
14966,2.3160880997524913e-4,120.26160901109759,13.250420339673973,60.93195088560202,0,206
14977,1.9776995163025223e-4,113.59254200634989,11.534665991662612,59.94703585771815,0,87
14994,2.8006413714780424e-4,94.1049243771051,11.200454127853043,54.03739602596259,0,63
15001,1.920603774155391e-4,112.56546566424622,11.59038882669736,67.09692434365155,0,124
15014,1.874897027427276e-4,121.82237476661933,11.659538517766793,64.84678651876297,0,54
15030,1.9662203619074986e-4,118.40109552024877,12.513601576423136,63.5983116524315,0,197
15038,3.128753826819604e-4,54.48637880988065,7.855760241067079,36.545915250071545,0,67
15062,3.209741671771123e-4,92.08418503513866,11.405150812086935,43.55130025604721,0.015644692660448434,31
15068,2.5684761042794337e-4,94.24359338422028,10.668178623077852,54.42685596506682,0,49
15080,2.856298955515376e-4,110.77113187994972,12.232988723597808,49.91751780364193,0,50
15093,2.450872862675558e-4,85.08459374003311,10.19078304731307,57.639367600694996,0,74
15109,2.398010567485825e-4,109.84097209790764,13.398892892169757,59.90081542835985,0,121
15120,2.0233965608535879e-4,124.83680419568357,13.33616504570841,64.45814050027144,0,128
15134,2.608104602802727e-4,65.24460082629061,8.522922455525409,49.33317664401576,0.006084575504894829,65
15156,2.4343025223554605e-4,73.49003897392707,10.861343718680262,49.3309795152857,0,36
15170,1.815160049859573e-4,153.89417946246294,15.227079567607705,66.8869058715152,0,143
15197,8.283454513474941e-4,23.96675792573535,5.577595739702465,22.35648158342058,0,43
15206,2.206436649523352e-4,81.27989702924025,10.88916505320608,56.36946168947341,0,140
15217,2.9011506556446485e-4,79.79108571517246,10.05995128149147,42.7921297753219,0.07534919677198193,24
15227,3.3003388774420364e-4,110.58660290077985,12.794338822365592,57.24348102387313,0,30
15392,1.8893336796944456e-4,134.14609130658636,14.346074073430676,66.98682246493514,0,1334
15397,1.7817365433816948e-4,136.58556198783302,14.84134576890636,67.60713557152081,0,683
15400,1.8811827368341374e-4,167.85191249572296,16.565507659987322,63.863926468725595,0,365
15404,1.8316220652448486e-4,167.1945122708889,16.325451951297175,67.73770061756821,0,1815
15412,2.049197913541522e-4,155.75675495895837,15.489079043320123,64.26119059532198,0,643
15418,1.7630530302704855e-4,158.7857537275898,15.771869698236168,67.83050135163354,0,603
15423,1.8347612006325382e-4,173.29259935438944,17.08943587035455,67.67222156138163,0,672
15430,1.8750564141042702e-4,146.44468997563925,15.532149222602497,66.96402643282478,0,670
15436,1.879610632206636e-4,168.03392999523948,16.479283831161673,67.8607941622854,0,748
15449,2.2508222475264226e-4,110.29173434208842,12.059680868961047,60.29716301241858,0,207
15455,1.8809688637587933e-4,159.8414782795127,15.49892883588504,67.1684816103557,0,1045
15480,1.8574845223405555e-4,148.93671115943886,15.1592281978526,67.54680133628983,0,2563
15513,1.7466438268085352e-4,169.10139988941285,16.854982629525402,68.91335153098814,0,3345
15532,1.8129755152617125e-4,134.12066665689895,13.94594305636341,68.6871028646593,0,1036
15614,2.766969446406035e-4,84.47110493951577,10.857475022925318,53.99374659038074,0,124
15657,1.8265873289503357e-4,149.51968794136755,16.167840521295503,67.45576923675213,0,215
15658,2.2117685387513508e-4,151.19981318808982,16.453888854595615,63.58844944209819,0,342
