tsne_X,tsne_Y,target_word
9.001382364166084,-7.252863549859389,left
-3.889478491444087,-15.62942229811397,very
-8.262584585512263,-20.068736757590933,here
-10.421879975657879,-18.822407945498085,don
-2.345601402103629,-4.737405213777832,living
1.9080887995235682,-29.06653030728225,day
3.5197225061695856,-4.386524462963315,place
-0.08976245838857372,-5.741235061409431,party
-6.601966891039704,-19.219437280415317,keep
8.884008115492064,-29.16280475880436,four
-2.338089279922616,-12.97138383079372,even
1.2881553683569384,-5.972559482325608,class
-8.258782576726487,-17.28298192537758,how
0.3009963157640902,-3.6056326625055872,called
-5.370189166108332,-10.689580491527988,did
1.798349450711083,-10.731544322770578,each
2.974919760057603,-9.789042356749205,found
6.0241612908759965,0.5591237160786794,long
9.813718301702199,-6.734595385350635,back
-3.231478882959512,-13.59853264434861,way
