type,.,
low_crit_words,past,prep
low_crit_words,pasta,N
low_crit_words,pee,V
low_crit_words,picnic,N
low_crit_words,pieces,N
low_crit_words,piglet,N
low_crit_words,pinch,V
low_crit_words,Pingu,name
low_crit_words,pizza,N
low_crit_words,Play_Doh,N
low_crit_words,polar,adj
low_crit_words,pony,N
low_crit_words,Poppy,name
low_crit_words,potato,N
low_crit_words,potty,N
low_crit_words,pour,V
low_crit_words,pretty,adj
low_crit_words,prize,N
low_crit_words,pumpkin,N
low_crit_words,puppet,N
low_crit_words,quick,adv
low_crit_words,Rabbit,name
low_crit_words,race,VN
low_crit_words,racing,V
low_crit_words,rainbow,N
low_crit_words,reach,V
low_crit_words,real,adj
low_crit_words,really,o
low_crit_words,riding,V
low_crit_words,roar,V
low_crit_words,rock,N
low_crit_words,rocket,N
low_crit_words,Roo,name
low_crit_words,rosie,adj
low_crit_words,rug,N
low_crit_words,sad,adj
low_crit_words,said,v 
low_crit_words,Sally,name
low_crit_words,same,adj
low_crit_words,scared,ad
low_crit_words,scary,adj
low_crit_words,school,N
low_crit_words,scissors,N
low_crit_words,scoop,VN
low_crit_words,seal,VN
low_crit_words,seed,N
low_crit_words,shape,N
low_crit_words,shark,N
low_crit_words,she's,pro
low_crit_words,shed,VN
low_crit_words,shoulders,N
low_crit_words,shut,AV
low_crit_words,sink,VN
low_crit_words,sir,o
low_crit_words,slippers,N
low_crit_words,small,Adj
low_crit_words,smell,VN
low_crit_words,smelly,Adj
low_crit_words,snail,N
low_crit_words,snap,VN
low_crit_words,so,o
low_crit_words,somebody,pro
low_crit_words,somebody's,pro
low_crit_words,someone,pro
low_crit_words,somewhere,pro
low_crit_words,sorry,o
low_crit_words,spaghetti,N
low_crit_words,square,N
low_crit_words,squeak,V
low_crit_words,squeeze,V
low_crit_words,squish,V
low_crit_words,ss,o
low_crit_words,stamp,N
low_crit_words,standing,V
low_crit_words,star,N
low_crit_words,starfish,N
low_crit_words,station,N
low_crit_words,story,N
low_crit_words,straight,Adj
low_crit_words,strawberries,N
