word,Estimate,SE,t
take,3.9353888583617285,2.1048913895557937,1.8696398673530772
that,-0.09448226711691646,2.2493320489405018,-0.04200458850058187
that's,0.7882681268357783,1.9993196466817635,0.3942681842516045
the,7.078278849989291,2.5037794916433795,2.827037633950502
there,-0.4556250886533299,2.130152234923816,-0.21389320499416098
they,-0.22225291284176257,2.1567394057881444,-0.10305042521377031
this,-1.0135939138231733,2.161633242198087,-0.46890189049484
to,0.8511993932561799,2.415597127916933,0.35237638901740354
truck,-1.6342988638464109,2.3104193502425745,-0.7073602736554397
try,-3.766386462141372,3.4486802565865924,-1.0921239958236189
uhoh,-0.70473463397430125,2.9605536512699637,-0.23804150067403682
um,-0.3653733824789396,2.0311895219847207,-0.17988148251273228
up,4.514968542676862,2.2541332532104676,2.002973220969249
walk,-0.24875374340800818,3.2803394150146103,-0.07583170883763571
wanna,1.1953929047795413,1.9973959349395767,0.5984756872030498
want,2.3852029613623666,2.11341755978588,1.1285999542863752
water,7.4129982025088195,2.0379443804641695,3.637487987194434
we,-4.060478224646382,2.237918673880281,-1.8143993667142528
what,-1.6055253920514139,2.2490190168264217,-0.7138780864187453
what's,0.09684642125652114,1.7750125874222404,0.05456097716871192
where,1.5059446957271883,2.0524065617364182,0.7337458005655072
where's,3.027352556289217,1.9684707992700905,1.5379209879119162
xxx,-0.05644939466958441,2.2846372858160677,-0.0247082523865143
yeah,3.4161316547704352,2.068266821732938,1.6516880795429296
yes,-1.7559642328784797,1.9571212975733725,-0.8972178858079431
you,5.632230707528438,2.4851951220306296,2.2663132796294865
ah,-0.648693917379106,2.094156620699006,-0.30976380227118794
all,-0.0237016091779391,2.022633440670093,-0.01171819307510649
around,-1.090309672385717,2.7799531034936606,-0.39220434007159627
at,0.3381649383202719,2.135562232396621,0.15834937197815513
back,-3.081158572440767,1.9883944508756415,-1.549571097969972
be,-1.2211279235379622,2.169468901525177,-0.5628695219735514
bee,0.8792225138685478,4.411392896501407,0.1993072334513307
big,7.499291618875288,1.982705505160655,3.782352749490971
boat,-0.6390955130086736,3.227270377931609,-0.19802973973884289
book,0.5389605556693946,1.9545081581718227,0.2757525229127307
box,9.148289254324794,2.75369977803961,3.3221810624677337
broken,3.0171541712605574,2.8769115815554094,1.048747619010705
can't,0.8629469967799055,2.0775899530963047,0.4153596312370617
cat,-2.072121208373732,2.5915569803633964,-0.7995661388402784
chicken,-0.8708962241862834,4.0010709854228335,-0.2176657768280627
come,-0.3083754392458262,2.1555728918478665,-0.1430596202114377
cookie,2.888065498098487,2.943262878383077,0.9812461942526474
cut,4.320547983112873,2.7140458278791186,1.5919215286387223
d,0.7204380440758402,3.268307835655224,0.2204315138911657
da,0.45880136515520353,3.455354153101117,0.13277983813712343
de,1.9049451795279244,3.323366235771784,0.5731974884451878
did,-4.904544916428195,2.0233699793744613,-2.42394864331459
drink,5.484625224891069,3.0026686698211646,1.8265835588239332
eat,4.88322452222146,2.089048775619983,2.337534948542419
eating,5.585636616154602,3.1211003361048384,1.7896369916532473
for,1.055161533694963,2.210405841488792,0.47736099583607305
from,-0.9283233183765489,2.6029939990802555,-0.35663674933732603
garbage,-2.3115176731952762,5.285446501434773,-0.4373363106726741
