target_child_id,tbin,delta_resid_group,log_num_trigrams,mean_word_freq,median_word_freq
4750,t1,low,3.8066624897703196,3.96913,3.8541999999999996
4753,t1,high,6.075346031088684,4.7595846153846155,4.997
4755,t1,low,5.720311776607412,4.865971428571429,4.99615
4757,t1,high,2.4849066497880004,4.4774,4.4774
4759,t1,high,6.030685260261263,5.119592307692308,5.2866
4761,t1,low,4.59511985013459,4.529218181818182,4.5632
4763,t1,high,3.044522437723423,4.14595,4.14595
4846,t1,high,11.104430772301699,3.8648319620253164,3.73055
5005,t1,high,11.902193438175821,3.9623498817966905,3.8781
5049,t1,high,11.209777746906438,4.065223487544484,3.986
14768,t1,low,9.75115189123243,3.956303676470588,3.7276499999999997
14797,t1,high,10.691535738290794,4.266477777777777,4.24815
14809,t1,low,9.101640955052842,4.44603,4.42315
14830,t1,low,9.638219074921247,4.276846666666667,4.2009
14844,t1,low,8.540909718033554,4.133282558139535,4.1041
14854,t1,low,7.6511201757027,4.625451612903226,4.5632
14871,t1,low,11.158490866724785,4.538349673202615,4.5844
14879,t1,low,9.52617248784431,4.515769736842105,4.6887
14909,t1,low,7.757478766584179,4.353739215686274,4.2572
14917,t1,low,7.068172000388042,4.64615,4.8558
14928,t1,high,8.717518372649767,4.3970521126760564,4.4317
14942,t1,low,9.978595025022933,4.590353658536586,4.7278
14954,t1,low,7.319202458767849,4.86138695652174,4.997
14966,t1,high,10.101600434125091,4.309313445378152,4.3916
14977,t1,high,8.525161361065415,4.553177272727273,4.5945
14994,t1,low,7.681560362559537,4.672065517241379,4.8808
15001,t1,low,8.499436469826978,4.312913559322034,4.4317
15014,t1,low,6.440946540632921,4.357628125,4.168699999999999
15030,t1,high,10.119888422982946,4.388855555555556,4.4282
15038,t1,low,7.456454555176209,4.670414285714286,4.78515
15062,t1,low,6.333279628139691,4.525021052631579,4.3916
15068,t1,low,7.687538766201629,4.8101,5.18075
15080,t1,high,6.163314804034641,4.53092,4.821
15093,t1,low,7.71333788887187,4.525070731707317,4.5202
15109,t1,high,8.563122123304638,4.350176119402985,4.2962
15120,t1,low,9.450694960020746,4.377026506024096,4.4441
15134,t1,low,8.794824928014517,4.749688888888889,4.9449
15156,t1,high,5.298317366548036,4.515483333333333,4.41165
15170,t1,low,9.09549053029724,4.270977528089888,4.1072
15197,t1,low,5.480638923341991,4.7047,4.6637
15206,t1,high,9.460554194813056,4.569847368421053,4.6323
15217,t1,high,4.430816798843313,4.8308,4.821
15227,t1,low,4.941642422609304,4.88405,5.01105
15392,t1,high,11.40767605425113,3.955720294117647,3.8198499999999997
15397,t1,high,10.56206916790876,3.965453097345133,3.8202999999999996
15400,t1,high,10.023312945604477,4.030176821192053,4.0144
15404,t1,high,11.264707665752153,3.9065028818443803,3.7814
15412,t1,high,10.51398655078612,4.063009452736319,3.9381
15418,t1,high,10.862588700708992,3.9988691304347825,3.97075
15423,t1,high,10.50960517412297,3.894014977973568,3.722
15430,t1,low,10.809445080270491,3.9689446351931332,3.8781
15436,t1,high,10.67842207186152,3.9328666666666665,3.81245
15449,t1,low,8.742414582525413,4.49058524590164,4.5202
15455,t1,high,11.002333147319582,3.963215384615385,3.83605
15480,t1,high,11.9197895939921,3.9445258139534882,3.87465
15513,t1,high,11.887491406282823,3.8599855319148935,3.7258
15532,t1,high,11.37814758151298,4.0239820945945945,3.9955499999999997
15614,t1,low,9.842356552531896,4.604930666666666,4.7355
15657,t1,low,8.80357441813497,4.062669026548672,3.9555
15658,t1,high,10.05560760059696,4.1234375722543355,4.0654
