word,Estimate,SE,t,n_know
blow,0.5192468681274783,0.3593260551581554,1.445057659119472,1
boat,0.3369639762984636,0.19734660004201016,1.7074729244219682,3
bobbing,0.5192468681274783,0.3593260551581554,1.445057659119472,1
book,0.20509109856661553,0.18723429609764508,1.0953714294931196,9
books,0.2818720140686976,0.24658189298804556,1.1431172445511355,2
boom,0.21130507093798268,0.2553336626987796,0.8275644844654187,2
boot,0.21130507093798268,0.2553336626987796,0.8275644844654187,2
bottle,0.2633065619450431,0.22367437155940348,1.177186997818899,3
bouillon,0.5192468681274783,0.3593260551581554,1.445057659119472,1
box,0.20861677004737494,0.20209154456287307,1.032288463619871,3
boy,0.2456297992166596,0.16342086247261395,1.5030504398287716,6
briefcase,0.5192468681274783,0.3593260551581554,1.445057659119472,1
bring,0.3663748595578575,0.2575212564160494,1.4226975460462379,2
broke,0.1536548881412153,0.160628165837108,0.9565874536414475,5
brown,0.23966879803201685,0.24148020821203695,0.9924987219721562,2
building,0.5192468681274783,0.3593260551581554,1.445057659119472,1
buy,0.3663748595578575,0.2575212564160494,1.4226975460462379,2
by,0.5192468681274783,0.3593260551581554,1.445057659119472,1
byebye,0.3281276346660907,0.20197951222560487,1.6245590013089162,4
cake,0.19842818603950121,0.15175569615334736,1.30755016825854,6
came,0.28131049966788735,0.28860154695357526,0.9747366313082835,2
can,0.2279304765220002,0.2084359422058766,1.0935277002124155,6
can't,0.2633274455346382,0.20985461778070766,1.2548089163794727,7
car,0.4530665914905813,0.13965842649057109,3.244104941431298,12
card,0.4045440806283844,0.2463021685997928,1.64247064054768,2
cat,0.3547263415865141,0.19909114048692414,1.7817284120174688,6
Cathy,0.5192468681274783,0.3593260551581554,1.445057659119472,1
celery,0.5192468681274783,0.3593260551581554,1.445057659119472,1
chair,0.25983066049851067,0.15847228380889158,1.639596869897145,8
check,0.5192468681274783,0.3593260551581554,1.445057659119472,1
cheese,0.2529138828450707,0.21934848117772776,1.1530231779455382,4
chocolate,0.2519687736682795,0.2009993581480578,1.253579991447919,3
chowder,0.5192468681274783,0.3593260551581554,1.445057659119472,1
Christmas,0.5192468681274783,0.3593260551581554,1.445057659119472,1
clam,0.5192468681274783,0.3593260551581554,1.445057659119472,1
Clip_clop,0.5192468681274783,0.3593260551581554,1.445057659119472,1
clock,0.030144613302844705,0.26122024241696395,0.11539922413335559,2
coat,0.4045440806283844,0.2463021685997928,1.64247064054768,2
cocoa,0.5192468681274783,0.3593260551581554,1.445057659119472,1
coffee,0.3323065942648181,0.2351279047403023,1.4133013885861367,3
coin,0.5192468681274783,0.3593260551581554,1.445057659119472,1
color,0.2651803222366566,0.1985694862177672,1.3354535346172907,3
coloring,0.5192468681274783,0.3593260551581554,1.445057659119472,1
come,0.3817967285782171,0.21273182190062487,1.7947325659466635,5
coming,0.3857912813482811,0.1987570950480929,1.9410189168589522,5
cone,0.5192468681274783,0.3593260551581554,1.445057659119472,1
cook,0.32694402793063687,0.2357769915913429,1.3866663821773921,2
cookie,-0.09531181114085682,0.23987184915786672,-0.3973447133353665,3
cookies,0.5192468681274783,0.3593260551581554,1.445057659119472,1
cool,0.5192468681274783,0.3593260551581554,1.445057659119472,1
crayon,0.23966879803201685,0.24148020821203695,0.9924987219721562,2
crayons,0.5192468681274783,0.3593260551581554,1.445057659119472,1
cream,0.11498653160119852,0.17967467475244542,0.639970723529213,5
Cromer,0.5192468681274783,0.3593260551581554,1.445057659119472,1
cube,0.5192468681274783,0.3593260551581554,1.445057659119472,1
cup,0.26067953891591883,0.2089378679053396,1.247641423401626,5
cut,0.3265565482843736,0.20209025018642268,1.6158946212552767,4
