target_child_id,Familiarity,Length_Syllables,Bigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax,n_clusters
4753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4759,8.35,1,3261.22,18,9,9,1,11.1,0.226,0.201,63.05,5,18,5,0,1,1,0,0,0,1,1,0,2
4846,6.595652173913043,1.4130434782608696,1730.3013888888888,7.1521739130434785,16.130434782608695,14.369565217391305,4.782608695652174,33.221739130434784,0.344804347826087,0.3446521739130435,180.6063043478261,9.565217391304348,21.456521739130434,2.369565217391304,1.0869565217391304,5.521739130434782,0.9782608695652174,0.45652173913043476,0.06521739130434782,0.08695652173913043,0.391304347826087,3.4130434782608696,1.7608695652173914,20
5005,8.248,1.32,1345.8372222222222,7.12,15.84,14.36,5.16,35.856,0.37504,0.37256,194.0344,9.92,22.8,3.32,0.36,5.84,0.88,0.12,0.28,0.04,0.72,2.8,1.48,17
5049,7.3999999999999995,1.3611111111111112,1615.9707407407407,6.888888888888889,15.027777777777779,13.972222222222221,5.444444444444445,38.78611111111111,0.3978888888888889,0.4017777777777778,156.62916666666666,8.222222222222221,23.27777777777778,3.5277777777777777,0.6388888888888888,5.888888888888889,0.5833333333333334,0.25,0,0.027777777777777776,0.3055555555555556,2.75,1.0555555555555556,18
14768,7.1,1.3636363636363635,1051.33625,6.909090909090909,14.545454545454545,13.636363636363637,4,27.9,0.317,0.3165454545454545,186.14636363636365,9.272727272727273,20,3.3636363636363638,0.2727272727272727,5.090909090909091,1.2727272727272727,0.2727272727272727,0.2727272727272727,0,0.6363636363636364,2.4545454545454546,0.9090909090909091,7
14797,8.1,1,1880.6133333333335,9.333333333333334,15,14,6.333333333333333,42.56666666666666,0.438,0.422,84.55666666666667,5.666666666666667,23.666666666666668,4.333333333333333,0,4.666666666666667,1.3333333333333333,0,0,0,0,3.6666666666666665,1,4
14809,7.8625,1.75,867.755,5.25,17.75,16.25,5,31.425,0.312,0.30625,357.7325,17.25,26.5,4.25,0.25,7,1.5,0,0.75,0,0.5,2,1.5,5
14830,8.216666666666667,1,1594.15,10.333333333333334,15,13.333333333333334,4.666666666666667,35.56666666666667,0.335,0.347,240.63333333333333,10.666666666666666,29.333333333333332,2.6666666666666665,0.3333333333333333,5.666666666666667,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,3,1.6666666666666667,4
14844,6.68,1.2,1703.85,11.8,17.4,15.6,4.2,25.06,0.2596,0.2718,436.288,21.2,33.6,2.6,1.4,4.6,1.8,0.4,0.4,0.2,0.4,3.8,1.8,5
14854,7.4,1,2599.49,18,17,14,9,64.3,0.613,0.609,90.76,5,50,3,0,0,0,0,3,0,0,8,3,2
14871,8.35,1,3261.22,18,9,9,1,11.1,0.226,0.201,63.05,5,18,5,0,1,1,0,0,0,1,1,0,2
14879,8.6,1,NaN,18,16,15,3,20,0.268,0.27,349.16,19,29,2,1,7,1,0,0,0,0,4,1,2
14909,8.95,1,2587.59,5,13,13,6,46.2,0.415,0.413,180.59,3,14,6,0,7,0,0,0,0,0,0,0,2
14917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
14928,8.15,1,2070.95,13,18,16.5,6,35,0.375,0.388,359.175,19.5,42.5,3,1,9,0.5,0,0,0,0,3,1.5,2
14942,8.649999999999999,1,2587.59,6,15,14.5,5.5,38.75,0.379,0.37849999999999995,184.25,6.5,16,5,0,7.5,0.5,0.5,0,0,0,1,0.5,3
14954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
14966,6.7125,1,2193.555,10,18.5,16.75,3.75,21.775,0.2295,0.23025,330.2125,16.5,21.5,3,1.25,7.5,1,0.25,0,0,0.25,3.5,1.75,5
14977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
14994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15001,8.325,1,2329.27,6.5,16.5,15.5,7.5,48.1,0.4485,0.4595,274.89,11.5,35,5,0.5,9,0,0,0,0,0,1,1,3
15014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15109,8.15,1,2070.95,13,18,16.5,6,35,0.375,0.388,359.175,19.5,42.5,3,1,9,0.5,0,0,0,0,3,1.5,2
15120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15170,8.6,1,973.91,7,14,12,8,66.7,0.7,0.716,13.33,1,17,3,0,5,0,1,0,0,0,3,2,2
15197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15206,7.324999999999999,1,1247.27,12,15.5,15,5,33.35,0.39,0.3865,296.44,15.5,36,3,1,6,0.5,0.5,0,0,0,4,0.5,3
15227,8.15,1,NaN,14,18,14,7,50,0.467,0.455,92.54,7,33,1,2,6,0,1,0,0,1,3,4,2
15392,7.514,1.32,1389.5205263157895,7,15.76,13.88,4.4,32.608,0.35192,0.35512,265.8172,12.48,24.16,2.88,0.24,6,0.8,0.16,0.28,0.04,0.44,3.04,1.88,19
15397,7.170833333333333,1.125,1868.8085714285714,9.916666666666666,14.375,13.083333333333334,4.75,36.875,0.38616666666666666,0.38566666666666666,180.73291666666665,8.958333333333334,24.958333333333332,3.25,0.7083333333333334,5.291666666666667,0.625,0.4166666666666667,0.125,0.041666666666666664,0.25,2.375,1.2916666666666667,15
15400,7.215,1.5,1531.5044444444445,7.5,14.7,13.4,2.4,17.330000000000002,0.2356,0.2406,317.863,15.8,25.3,2.6,0.1,4.6,1.7,0.1,0.6,0,0.6,3.1,1.3,7
15404,6.826190476190476,1.380952380952381,1515.9712121212121,7.261904761904762,15.714285714285714,14.023809523809524,4.404761904761905,31.123809523809523,0.32533333333333336,0.32907142857142857,213.65666666666667,11,23.071428571428573,2.6904761904761907,0.7619047619047619,5.690476190476191,0.8571428571428571,0.40476190476190477,0.23809523809523808,0.07142857142857142,0.38095238095238093,2.9285714285714284,1.6904761904761905,19
15412,7.161363636363636,1.4545454545454546,1368.0525,6.590909090909091,16.59090909090909,14.818181818181818,4.454545454545454,29.795454545454547,0.32077272727272726,0.32381818181818184,270.29045454545457,12.954545454545455,24.272727272727273,2.6818181818181817,1.0454545454545454,5.7727272727272725,0.7272727272727273,0.4090909090909091,0.22727272727272727,0.045454545454545456,0.6363636363636364,3.272727272727273,1.7727272727272727,16
15418,6.894444444444445,1.1111111111111112,1794.855,9,16.444444444444443,15.333333333333334,5.666666666666667,37.93333333333334,0.3815555555555556,0.3834444444444445,192.05,11.444444444444445,23.555555555555557,3.7777777777777777,1.1111111111111112,5.777777777777778,0.8888888888888888,0.3333333333333333,0,0.1111111111111111,0.1111111111111111,3.2222222222222223,1.1111111111111112,8
15423,7.3133333333333335,1.2666666666666666,2480.7354545454546,9.533333333333333,14.8,13.333333333333334,4.933333333333334,35.846666666666664,0.3604,0.36733333333333335,155.274,8.2,26.133333333333333,2.6,0.4,4.333333333333333,0.7333333333333333,0.06666666666666667,0.5333333333333333,0,0.8666666666666667,3.8,1.4666666666666666,12
15430,6.724,1.52,1675.2039130434782,4.52,14.8,13.4,3.6,27.36,0.31444,0.32176,225.876,11.8,24.72,2.56,0.68,5.12,0.84,0.12,0.44,0.04,0.64,2.96,1.4,17
15436,6.560714285714286,1.4285714285714286,1817.5718181818181,8.214285714285714,15.464285714285714,13.714285714285714,4.928571428571429,35.54642857142857,0.3665357142857143,0.3637142857142857,177.33107142857142,9.107142857142858,21.714285714285715,2.3214285714285716,1.1785714285714286,4.928571428571429,0.9285714285714286,0.4642857142857143,0.14285714285714285,0.03571428571428571,0.2857142857142857,3.4285714285714284,1.75,16
15449,8.35,1,3261.22,18,9,9,1,11.1,0.226,0.201,63.05,5,18,5,0,1,1,0,0,0,1,1,0,2
15455,6.386363636363637,1.5151515151515151,1590.3233333333333,7.515151515151516,16.424242424242426,14.545454545454545,4.787878787878788,32.07878787878788,0.3311818181818182,0.3368181818181818,215.65060606060607,11.575757575757576,23.818181818181817,2.5757575757575757,1.121212121212121,5.545454545454546,0.9393939393939394,0.48484848484848486,0.18181818181818182,0.06060606060606061,0.42424242424242425,3.212121212121212,1.878787878787879,15
15480,7.387878787878788,1.5151515151515151,1348.4293103448276,6.666666666666667,15.545454545454545,14.151515151515152,4.0606060606060606,29.112121212121213,0.3325757575757576,0.33384848484848484,282.7906060606061,13.636363636363637,27.12121212121212,3.0303030303030303,0.5757575757575758,5.575757575757576,0.8484848484848485,0.15151515151515152,0.3333333333333333,0.06060606060606061,0.5757575757575758,3,1.393939393939394,19
15513,6.364583333333333,1.4166666666666667,1648.0784210526315,7.305555555555555,15.333333333333334,13.680555555555555,4.472222222222222,32.09722222222222,0.34875,0.35488888888888886,206.62930555555556,9.875,22.944444444444443,2.361111111111111,1.125,5.291666666666667,0.8888888888888888,0.3611111111111111,0.1111111111111111,0.041666666666666664,0.3611111111111111,3.138888888888889,1.6527777777777777,24
15532,7.8769230769230765,1.1538461538461537,2239.7277777777776,8.538461538461538,14.76923076923077,13.692307692307692,4.461538461538462,32.4,0.3314615384615385,0.33307692307692305,224.7223076923077,10.384615384615385,22,2.923076923076923,0.8461538461538461,6.153846153846154,0.6153846153846154,0.23076923076923078,0,0,0.23076923076923078,2.6923076923076925,1.0769230769230769,11
15614,8.575,1,2933.3599999999997,15,12.5,12.5,7,46.199999999999996,0.478,0.45999999999999996,37,3,25.5,4,0,4.5,0.5,0,0,0,0.5,3,0,3
15657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
15658,8.133333333333333,1.3333333333333333,1440.08,7,16,15,7,47.46666666666667,0.4603333333333333,0.4523333333333333,204.38666666666668,11,27,3.6666666666666665,0,6,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,4.333333333333333,1,4
